"path_3"	"UCS_0001_BAL"	"UCS_0002_BAL"	"UCS_0002_UA"	"UCS_0004_BAL"	"UCS_0005_BAL"	"UCS_0006_BAL"	"UCS_0007_BAL"	"UCS_0007_UA"	"UCS_0009_BAL"	"UCS_0009_UA"	"UCS_0010_BAL"	"UCS_0010_UA"	"UCS_0013_BAL"	"UCS_0013_UA"	"UCS_0014_BAL"	"UCS_0014_UA"	"UCS_0015_BAL"	"UCS_0015_UA"	"UCS_0016_BAL"	"UCS_0016_UA"	"UCS_0017_BAL"	"UCS_0018_BAL"	"UCS_0018_UA"	"UCS_0019_BAL"	"UCS_0020_BAL"	"UCS_0021_BAL"	"UCS_0021_UA"	"UCS_0022_BAL"	"UCS_0022_UA"	"UCS_0023_BAL"	"UCS_0023_UA"	"UCS_0025_BAL"	"UCS_0025_UA"	"UCS_0028_BAL"	"UCS_0028_UA"	"UCS_0029_BAL"	"UCS_0030_BAL"	"UCS_0030_UA"	"UCS_0031_BAL"	"UCS_0032_BAL"	"UCS_0032_UA"	"UCS_0033_BAL"	"UCS_0034_BAL"	"UCS_0035_BAL"	"UCS_0036_BAL"	"UCS_0037_BAL"	"UCS_0038_BAL"	"UCS_0038_UA"	"UCS_0039_BAL"	"UCS_0039_UA"	"UCS_0040_BAL"	"UCS_0040_BKG"	"UCS_0041_BAL"	"UCS_0041_UA"	"UCS_0042_BAL"	"UCS_0042_UA"	"UCS_0043_BAL"	"UCS_0043_UA"	"UCS_0044_BAL"	"UCS_0045_BAL"	"UCS_0046_BAL"	"UCS_0046_UA"	"UCS_0047_BAL"	"UCS_0048_BAL"	"UCS_0048_UA"	"UCS_0049_BAL"	"UCS_0050_BAL"	"UCS_0050_UA"	"UCS_0051_BAL"	"UCS_0051_UA"	"UCS_0052_BAL"	"UCS_0053_BAL"	"UCS_0053_UA"	"UCS_0054_BAL"	"UCS_0054_UA"	"UCS_0055_BAL"	"UCS_0055_UA"	"UCS_0056_BAL"	"UCS_0057_BAL"	"UCS_0057_UA"	"UCS_0058_BAL"	"UCS_0058_UA"	"UCS_0059_BAL"	"UCS_0060_BAL"	"UCS_0060_UA"	"UCS_0061_BAL"	"UCS_0061_UA"	"UCS_0062_BAL"	"UCS_0063_BAL"	"UCS_0063_UA"	"UCS_0064_BAL"	"UCS_0065_BAL"	"UCS_0066_BAL"	"UCS_0069_BAL"	"UCS_0069_BKG"	"UCS_0070_BAL"	"UCS_0070_BKG"	"UCS_0071_BAL"	"UCS_0072_BAL"	"UCS_0073_BAL"	"UCS_0073_UA"	"UCS_0074_BAL"	"UCS_0074_UA"	"UCS_0075_BAL"	"UCS_0076_BAL"	"UCS_0077_BAL"	"UCS_0077_UA"	"UCS_0079_BAL"	"UCS_0079_UA"	"UCS_0080_BAL"	"UCS_0081_BAL"	"UCS_0082_BAL"	"UCS_0083_BAL"	"UCS_0083_UA"	"UCS_0085_BAL"	"UCS_0085_BKG"	"UCS_0087_BAL"	"UCS_0088_BAL"	"UCS_0088_UA"	"UCS_0090_BAL"	"UCS_0093_BAL"	"UCS_0093_UA"	"UCS_0094_BAL"	"UCS_0094_UA"	"UCS_0095_BAL"	"UCS_0096_BAL"	"UCS_0096_UA"	"UCS_0097_BAL"	"UCS_0097_UA"	"UCS_0098_BAL"	"UCS_0099_BAL"	"UCS_0099_UA"	"UCS_0100_BAL"	"UCS_0101_BAL"	"UCS_0101_UA"	"UCS_0103_BAL"	"UCS_0106_BAL"	"UCS_0106_UA"	"UCS_0109_BAL"	"UCS_0114_BAL"	"UCS_0115_BAL"	"UCS_0116_BAL"	"UCS_0118_BAL"	"UCS_0123_BAL"	"UCS_0128_BAL"	"UCS_0130_BAL"	"UCS_0130_UA"	"UCS_0134_UA"	"UCS_0136_BKG"	"UCS_0138_BAL"	"UCS_0144_BAL"	"UCS_0147_BAL"	"UCS_0148_BAL"	"UCS_0148_UA"	"UCS_0151_BAL"	"UCS_0153_BAL"	"UCS_0153_UA"	"UCS_0154_BAL"	"UCS_0154_UA"	"UCS_0156_BAL"	"UCS_0156_UA"	"UCS_0158_BAL"	"UCS_0158_UA"	"UCS_0159_BAL"	"UCS_0159_UA"	"UCS_0160_BAL"	"UCS_0163_BAL"	"UCS_0164_BAL"	"UCS_0164_UA"	"UCS_0167_UA"	"UCS_0168_BAL"	"UCS_0170_BAL"	"UCS_0170_UA"	"UCS_0171_BAL"	"UCS_0172_UA"	"UCS_0174_BAL"	"UCS_0174_UA"	"UCS_0175_BAL"	"UCS_0175_UA"	"UCS_0176_BAL"	"UCS_0177_BAL"	"UCS_0177_UA"	"UCS_0180_BAL"	"UCS_0182_UA"	"UCS_0185_BAL"	"UCS_0185_UA"	"UCS_0190_BAL"	"UCS_0191_BAL"	"UCS_0191_UA"	"UCS_0192_BAL"	"UCS_0192_UA"	"UCS_0194_BAL"
"GSK family"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GST, gst"	0	12	424	4	44	8	236	140	0	996	2	1466	152	140	0	640	112	1074	2	1680	2	0	2	2	0	0	222	0	2	144	1132	24	70	334	1444	0	202	18	0	576	2	26	48	8	0	0	28	460	0	1100	48	0	0	8	0	0	2	284	0	2	0	2	2	0	262	0	124	830	0	6	0	778	298	0	692	4	538	44	0	4	4	98	0	6	2	12	12	58	234	1152	0	2	4	0	172	2	0	0	8	4	1162	0	622	490	8	22	458	36	1840	2	0	0	6	1286	130	44	4	10	956	0	0	20	20	52	10	112	158	152	71314	0	0	8	8	10	10	4	1094	45550	560	90	0	2	0	0	0	202	1366	1524	182	0	118	0	0	526	14	0	3808	2	616	0	16	2	78	32	32	0	32	0	0	414	104	138	4074	0	1738	2270	106	40	3254	0	962	400	4314	594	12	50	0	0	206	0	16	24
"GSTP"	0	12	5336	0	0	5096	0	0	0	184	2	32	162	8	0	0	8	248	0	0	0	0	1228	0	28	0	918	0	170	0	0	0	0	0	0	256	458	0	0	0	0	4	66	30	204	0	0	0	0	0	0	0	0	0	132	10784	12	0	0	0	68	238	0	4	410	0	16	54	0	0	0	0	0	914	1412	0	0	0	4	0	0	0	40	0	4	558	5018	56	112	42	352	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	26	0	0	0	0	0	0	4	0	46	0	0	0	4	0	0	0	0	0	0	274	0	0	1390	0	0	4	812	0	58	0	0	0	0	2	38	3180	0	0	4	0	0	16966	0	0	0	422	11364	0	122	4	0	46	10466	28	0	0	0	0	0	0	452	0	54	290	170	0	6688	0	0	0	0	7564	0	160	0	0	0	20	2272	4
"GTP-binding proteins"	16	160	25267	178	156	36087	10	41	19	9508	250	1190	1060	1380	2	692	242	2198	117	2524	20	129	10628	2995	25	5	14359	10	1265	25	124	101	253	209	9574	1628	3482	48	4	82	48	4	514	317	5454	8	42	253	7	1865	332	7615	46	9038	914	90153	35	429	31	15	74	8152	69	1117	74930	8	11	1002	5	4195	23	653	146	6521	20282	11	2070	89	68	346	87	95532	298	43	896	4024	40596	264	1961	9390	1164	12	24	215	53	229	12981	9	7	8	7108	9	965	122	10	33	2134	29	854	854	10	13	9	6874	170	755	24	63	1077	4	798	127042	670	155058	54	6169	78323	234	29439	0	54	18478	196	12	11262	29	224	2773	18423	1416	1601	76	17	93	1456	1513	6965	81493	4544	6755	4244	21	3008	243601	22	139	2399	10157	89671	43	1519	26322	142439	411	23684	804	780	4	3960	501	60	1279	4280	3	2749	3034	1752	10	29334	81	1195	1115	407	51744	167	584	21	6	15	88	12839	328
"GTPases"	31	62	20449	36	5310	21393	2243	65679	83	21470	992	25209	4813	9831	254	5187	273	2949	1725	91051	106	1468	27526	11	34	7	16003	26	2751	1252	3481	12350	13447	1796	18677	624	23767	2408	12	1811	3159	708	701	1008	792	11	1125	4001	170	30571	57	3172	2079	41366	201	12882	727	10139	76	59	169	6672	48	2777	93745	110	1162	15580	17	46354	139	28424	4973	961	38607	18	5216	670	146	12188	381	44969	71	538	13365	1818	15946	2039	2084	6453	563	36	538	1202	22030	276	72821	21	38	44	34005	62	37633	3368	180	340	101148	136	32983	27	61	23	114	8836	4268	3625	479	1232	18653	28	21583	160671	77	71915	332	21724	60500	360	38039	37	561	336463	194	53	3997	65	21967	112381	658248	6413	351	18313	4395	578	24284	30991	36308	933769	1485	54482	336	95	529	30336	93	1232	17731	59458	435622	11863	17509	167310	145113	2859	84664	720	289	4242	5997	20115	561	1130	19227	1088	22954	242424	5001	923	52271	3468	25836	32596	1864	11004	4388	23662	35	60	5125	1202	9759	251
"gtrB, csbB"	11	19	2531	0	60	1	92	2819	0	890	16	8816	1054	539	1	480	110	375	78	4494	6	1426	2477	0	10	0	358	3	544	93	293	151	2212	52	1304	15	1491	170	1	1202	1154	5	5	9	6	3	9	92	13	7521	1	446	64	5829	6	84	83	3945	61	7	9	927	2	375	25823	0	365	3214	13	13693	2	3830	314	9	207	4	48	5	2	1477	43	13723	3	61	663	6	326	261	415	1397	0	2	2	18	103	0	9	3	5	27	9012	5	6804	24	2	163	66900	3	5645	2	19	4	12	1745	158	122	1	105	8754	0	505	31504	4	6654	40	1151	10881	11	18616	8	12	11797	4	2	649	1	6841	90515	9187	5008	0	2474	601	89	128	991	9766	833005	2	7	6	3	0	335	10	0	1339	3803	19660	6	386	269049	95655	23	1328	0	9	1	45	13948	7	3856	13987	1	4196	66519	553	2122	18952	51	1028	1302	1	1	65	1358	2	9	185	3	1355	73
"Haspin family"	0	1	1078	15	0	2966	0	0	0	62	48	10	47	39	0	2	6	54	1	0	2	0	834	0	0	0	425	2	9	0	0	2	0	0	0	79	112	0	0	0	0	0	52	6	442	0	2	0	0	0	0	1	0	0	95	6550	0	0	0	4	48	692	1	15	567	0	0	28	0	0	0	0	0	809	1082	0	0	1	2	0	0	0	25	1	0	797	3629	2	31	6	67	2	0	0	0	54	3	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	41	0	43	0	0	0	0	0	2	0	3	0	0	3	0	0	692	0	0	0	23	0	0	0	1	223	0	0	2	1249	0	0	3	0	0	8296	57	0	0	870	3115	0	47	0	0	138	1308	150	0	0	2	0	0	4	42	0	30	4	45	0	1852	0	0	0	0	4655	0	67	0	0	0	2	691	5
"HB prenyltransferase"	3	11	782	3	3	5	3	248	8	63	6	17503	93	16	8	188193	10	23	145	16775	10	12	271	6	10	2	86	7	3586	8	1	222	254	197	5022	16	701	89	3	16	708	6	8	12	5	2	28	95	2	62058	8	8189	62	170235	14	99	5	187	67	51	2	21	12	1845	175068	4	10	27	9	496524	12	1105	545	10	9	4	219	0	11	3524	1	187	5	61	456	36	13744	83	1171	28144	14	0	39	185	10	2	73	2	4	7	253291	35	39657	148	4	4	301	45	53876	2	9	9	79	21	10	112	15	11	735	2	2370	14229	5	1722	4	1159	36490	5	2771	6	45	257	8	0	329	16	339	4753	219	639	7	19	4	2	1010	2103	19755	27361	14	17	14	0	5	15	4	1	1052	13	662	6	74	3330	82	6	45	6	5	1	6	8	10	2	599	4	1971	19207	1605	26	772	0	86	326	23	2	2	2188	2	9	4	4	37	129
"HECT type E3"	27	103	17970	18	187	7930	374	9778	18	5811	187	6539	990	1875	3	1843	357	1276	222	16272	9	747	11772	10	25	13	5258	10	1457	167	859	648	3007	78	5720	120	5085	619	0	924	1337	8	83	157	493	4	226	2031	50	13831	7	1132	111	12002	97	4672	226	8012	47	14	13	7601	79	544	52567	18	57	2482	6	12805	9	10075	1599	1504	6030	6	1937	23	2	4317	181	71449	78	153	2811	803	8617	640	841	3546	421	33	26	26	646	164	7418	8	10	24	13456	0	23657	129	22	385	72754	49	33153	6	42	1	11	3487	429	185	45	381	3938	6	1351	116462	26	35892	4	5601	89298	22	8174	0	65	88728	25	944	2303	32	5560	34367	12387	839	308	6111	2100	286	407	2007	5899	637930	22149	2520	637	23	481	16923	34	265	6166	4999	60128	634	1179	440130	151523	39	15869	227	147	15	105	5753	32	260	4779	2	7908	26449	1106	438	13628	510	903	4196	250	8233	40	3287	4	2	1759	140	6140	51
"Hedgehog signaling pathway"	5	26	1774	44	80	148	26	2201	47	6648	108	26673	1096	3188	54	567	371	3360	336	16946	8	168	4220	6	6	6	11109	43	1493	1822	3338	1526	5009	446	35004	165	16351	1542	1	419	825	10	44	179	1	10	501	3922	4	4482	12	4572	172	4442	14	34	243	4298	18	11	9	1743	7	1763	38386	10	464	23831	2	6826	15	21340	6151	8	128	8	306	73	66	993	35	14469	4	802	15061	118	2830	1330	211	1006	5	4	181	42	1442	32	9890	6	8	47	4527	5	1337	123	4	28	17893	11	6254	5	31	9	14	2275	1619	533	255	311	53233	11	528	105298	74	5067	450	1112	11851	27	3224	17	8	12446	160	10	3989	28	35713	88297	6831	549	119	718	17207	37	687	4935	7222	301447	1078	2558	16	159	123	387	20	131	3242	15045	135661	457	2743	56768	119360	25	3654	21	124	39	51	16431	31	53	5666	0	10391	39234	1823	64	19578	2899	8442	23960	4498	7	24	2245	8	10	4540	15	940	12
"Hedgehog signaling pathway - fly"	5	63	7585	203	16	13210	6	54	42	2598	120	24633	1582	3108	52	263	450	3674	300	13272	11	18	3702	7	39	6	12999	102	1629	1770	2821	906	4055	138	32615	632	16766	1531	3	178	191	2	90	214	1869	12	499	3717	5	606	11	4571	148	590	426	24041	201	1568	15	17	14	3183	15	1322	30610	8	447	22790	8	71	15	18177	5401	1944	3107	8	265	179	67	10	11	67	122	716	12167	1903	20459	1309	93	114	1184	4	146	99	1441	112	9894	7	8	32	11	5	136	136	9	10	114	13	20	7	82	16	8	1032	1610	854	254	300	52550	11	425	2077	10	53	439	10	4	55	7	19	19	359	158	12	6752	28	33549	78817	2217	69	442	9	15858	39	680	4518	5976	98525	1078	2559	395	157	434	56966	22	132	1789	14082	128793	76	2665	88	9	41	18865	126	91	39	34	13738	30	53	5220	0	8849	34878	2010	56	27906	2859	7863	21984	4498	20299	18	489	12	11	4167	28	4667	86
"Helix-turn-helix"	1475	7993	1340496	4568	43364	682232	63759	1510122	2934	664498	5619	765982	74480	133335	5940	291941	13283	108403	18884	1147161	2680	123315	1156250	509	827	307	439696	1725	133063	22779	70591	80805	495107	12091	487081	11565	536195	33269	361	52333	74342	2573	10905	12855	48168	560	16330	88378	1771	1674187	2384	127467	15656	1334218	7408	742702	19272	581578	7922	3605	5002	631457	1549	68775	5993298	1081	21308	358186	809	3398481	3001	480000	152182	55242	560548	764	103190	4112	754	504444	12082	5572876	3009	12831	233978	72633	559209	69118	62469	378247	29030	1458	5228	32694	83480	4642	377452	607	1257	1543	1543614	1625	1490163	74826	6551	25331	7233111	2661	2971847	1728	836	771	3071	449545	74649	36740	3254	20047	448250	716	88578	10895247	2569	3352787	6533	556539	6557304	8198	1268179	940	7653	6586388	3150	3494	260275	799	407649	2615237	3880561	63422	24909	159443	175092	7831	54847	197028	512895	57650160	24825	697858	190763	466	34298	1547854	15522	15725	473730	626816	6218580	30692	79499	24463061	13749966	13688	1835582	17621	16247	82351	105970	429156	41692	23209	414701	23484	506458	2726446	101464	51732	1117319	33769	331105	456771	305672	534648	26152	463757	1078	1565	172505	4742	698873	11909
"Hemophore/metalloprotease transporter"	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	108	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	27	0	3	33	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"Hepatitis B"	4	383	22706	125	12	30349	3	198	63	523	109	88	397	403	12	9	46	699	66	569	38	14	2650	5	11	13	8233	66	1260	6	28	7	8	8	1	325	1988	17	8	23	10	13	920	129	1868	8	193	0	9	8	8	3	14	0	394	19564	11	4	3	51	91	2088	43	38	3363	6	10	192	32	31	10	158	78	1880	7676	12	135	23	11	19	7	525	311	154	205	2873	30543	124	211	208	2397	13	5	219	0	114	4181	19	37	16	0	10	1	540	11	43	39	11	0	184	43	25	21	26	8	3619	23	11	608	35	184	1589	23	107	12	7	4	36	615	6	38	413	8	1	3948	11	46	292	7907	261	1611	5	18	513	74	7	101	11891	1	17	99	2	4006	43551	72	37	0	3959	18652	26	305	4	5	179	38676	2431	911	12	2	51	7	239	881	2	900	1193	771	6	9269	1	2	79	59	12293	9	500	17	13	0	13	6454	137
"Hepatitis C"	13	421	23325	133	14	35675	39	773	57	2480	155	83	498	452	12	29	72	935	91	3952	25	207	3746	4	19	13	8862	40	1269	33	31	21	43	8	378	435	1793	18	8	253	607	13	1247	135	2104	9	197	73	11	368	17	2880	15	161	445	30931	13	104	7	59	66	3161	47	736	5510	6	45	189	38	10067	14	308	164	2354	11398	12	10	17	13	159	8	441	86	201	183	3366	32585	216	212	273	2917	19	9	225	186	112	4184	17	37	17	485	11	144	552	13	47	389	11	198	183	48	25	21	287	10	3704	25	12	601	15	414	2599	23	3105	12	131	3774	31	730	6	76	1493	12	2	4390	27	44	378	10198	287	1971	134	18	528	206	0	142	499395	3	2834	142	9	2466	53393	2550	9	289	4655	29828	58	579	749	1060	181	39612	2601	734	53	115	1429	5	240	1533	1774	712	684	680	8	12032	4	3	419	62	16741	9	2286	19	12	44	35	7418	148
"Hepatocellular carcinoma"	25	215	34412	112	335	29316	354	9501	95	4455	68	1117	964	1214	12	375	115	1779	110	4229	168	193	9925	7	20	13	7375	47	1186	113	586	172	5137	187	3571	374	5366	331	6	439	133	29	808	195	1609	8	293	553	9	3235	34	4119	34	1736	291	17481	43	779	7	64	100	5902	45	50	16570	6	96	982	32	4010	10	2182	265	2038	8522	19	293	118	11	2061	58	26326	92	142	307	1729	28581	726	486	1544	2314	21	25	204	650	222	9923	21	44	25	3706	22	5515	824	16	63	6246	36	30970	174	44	38	30	1603	145	3986	31	25	1328	12	250	128981	45	25102	235	1122	26771	113	39299	9	51	44292	22	10	2903	72	1097	25804	39800	309	681	2000	336	519	506	213	1293	150654	94	5769	646	2	2723	36460	83	162	5317	6782	42861	55	637	23419	26699	60	40614	1871	852	18	320	1189	80	76	3433	2	2120	2164	758	86	10895	60	3517	2782	10815	13767	29	2895	19	31	2083	31	10111	105
"Herpes simplex virus 1 infection"	27	357	15478	174	291	6830	227	6738	268	18303	119	2596	1096	2151	76	5880	163	1044	152	18988	138	791	9579	36	59	6	3152	20	7515	407	729	399	2694	1276	8581	188	2193	291	32	201	358	49	318	193	656	31	202	1690	10	9376	183	8022	532	73185	182	7307	82	2670	23	238	55	3269	39	1836	313407	19	622	31344	6	720793	65	11731	1634	1013	3186	78	7503	124	17	11935	869	299187	78	176	2705	2426	11955	868	6101	16556	376	77	140	453	2519	103	12949	6	35	23	3198	11	8860	723	56	46	12324	190	642144	49	36	40	38	14176	2184	1167	84	393	3227	53	5335	1367216	78	204587	240	24157	331742	620	236618	11	1387	1436284	18	27	2857	48	3980	38144	22517	1021	1623	598	388	1068	601	1227	1491	488237	4551	6579	108	23	772	12056	451	96	15599	5752	119133	582	3190	5985154	7389330	205	13050	445	414	14530	9103	5520	286	1192	4312	2241	22248	18457	6313	366	7816	305	3130	6703	5674	2996	702	10820	50	22	20520	59	4119	384
"Heterochromatin formation proteins"	40	80	31280	49	3579	7943	2632	41986	65	26661	292	8054	5723	13951	360	314	484	925	685	51826	39	7354	41125	9	25	4	3533	30	471	254	205	3838	23890	598	39807	71	20977	1707	17	1631	1255	420	320	323	473	8	338	3953	141	90090	22	2437	449	59110	203	7345	426	40076	54	38	133	27770	22	1356	197163	68	446	17668	32	25015	35	8142	2643	385	5948	20	7416	183	36	14137	217	160568	73	81	2052	811	19928	1418	950	6512	221	15	32	14	1034	49	12216	12	13	35	25996	57	31073	144	20	811	564779	46	138174	2	30	18	140	12796	1057	184	668	743	8621	28	974	327812	32	172499	350	12381	207681	297	21786	7	428	314057	18	17	4380	34	1784	31119	144141	507	333	8634	52	121	8127	5490	5905	3282993	918	40092	52	27	40	10122	275	332	25874	17693	138997	3736	4182	523380	1301390	51	46050	194	364	25	541	12916	291	49	11604	13	4894	220199	2001	2250	27673	350	3294	8376	259	2849	752	23563	17	20	2984	118	9471	72
"HIF-1 signaling pathway"	495	1532	287037	511	23153	53751	9194	336162	468	147470	1849	88089	16215	35403	1515	20969	3220	22239	5667	251888	288	64364	344403	122	204	62	83510	341	9090	9486	15733	13669	80318	4673	155629	1415	93964	4271	77	14198	17123	604	2379	2114	5742	104	2388	14659	586	788287	351	22997	2651	651496	1729	94993	4906	280108	1609	469	773	240833	192	5736	1213047	300	5769	103873	141	772805	296	83798	29528	6651	145211	142	14164	859	221	142799	3517	1287391	624	5588	70399	9827	155760	7479	8554	58871	5076	143	484	5685	2738	1282	53024	109	286	513	492869	902	630763	10614	637	6459	3408120	357	824628	345	290	137	1078	79495	7325	6982	631	3848	100449	164	20166	3605875	651	1050431	431	64492	1660378	1592	361306	90	3432	2926942	1102	100	32105	136	186461	763758	642441	25448	4341	31005	129615	3084	17985	51663	182576	17880341	4490	320486	2663	161	6687	172247	1221	2428	102580	69873	967521	3729	23126	7795573	3451872	2402	246183	4162	1992	2581	16408	123495	5823	6575	63245	9700	92954	227914	14025	11520	145213	5741	35389	56646	78284	69485	2272	89381	251	158	20474	567	198573	2156
"Hippo signaling pathway"	0	63	6220	30	72	6450	54	2725	28	6762	9	2146	338	913	4	332	34	1129	49	6400	4	150	7023	0	6	1	4574	2	401	88	537	639	1106	314	3014	202	1779	61	1	262	642	10	248	16	858	1	67	471	6	4384	11	3675	26	4013	88	24703	43	2754	7	10	39	4727	68	1217	13536	2	68	1489	10	7587	3	3661	772	1406	6566	2	78	108	1	1121	26	14829	49	95	2944	943	7443	453	246	1073	295	2	36	11	147	26	6	0	2	15	4999	1	1345	30	2	20	17883	2	6432	59	10	1	7	1550	58	136	11	24	1150	3	837	105766	65	8023	12	1232	15618	2	3336	2	9	13601	10	0	3015	9	2568	10818	11867	484	1318	724	1352	0	512	455	1412	222175	0	2821	51	5	391	44485	2470	2	2586	6012	48511	385	527	56698	119472	7	10595	203	376	67	137	2776	3	12	2758	2	1669	4984	956	11	12166	124	1992	2777	6	13560	6	3711	0	1	517	0	3696	41
"Hippo signaling pathway - fly"	0	56	4711	34	2	19220	35	559	22	2250	44	31	482	326	3	26	36	975	2	2726	2	0	3596	0	4	1	3263	7	255	28	20	19	151	6	625	353	891	41	0	21	2	2	381	234	1258	1	62	266	4	504	9	3675	1	161	239	24744	0	18	4	12	34	2989	87	708	3019	0	37	363	12	800	3	498	22	2417	10119	0	12	45	0	139	2	422	49	8	53	1460	30017	386	39	79	587	2	0	37	212	19	6	0	2	0	483	1	146	17	1	2	100	2	198	59	1	1	0	333	25	0	2	14	293	2	327	2346	2	3004	9	126	3776	4	116	1	9	1196	6	0	2584	9	340	1341	5042	4	1520	15	1	0	486	30	126	9093	0	2818	1144	3	387	55188	2511	0	1133	3873	26044	0	203	8	119	13	11798	211	706	64	113	83	0	8	1680	2	85	397	710	3	13051	22	1409	801	3	13978	2	1933	0	0	144	0	3003	39
"Hippo signaling pathway - multiple species"	0	67	3604	27	0	4606	5	1	21	223	15	20	178	207	0	0	1	403	42	9	0	0	2085	12	0	1	1895	2	109	0	6	0	40	2	147	101	353	16	0	2	7	0	165	11	616	0	2	98	4	2012	0	1559	0	3176	92	13974	0	5	101	4	33	2179	86	10	881	0	8	244	4	1363	3	115	60	997	3209	0	251	43	0	0	0	0	47	0	131	491	5550	51	28	41	231	2	2	8	664	0	1460	0	1	0	2139	12	2276	9	1	1	2	5	503	57	1	0	4	22	51	40	0	11	41	4	75	22	1	3	1	1	0	0	0	0	7	58	3	4	1624	0	155	486	876	9	1344	0	0	27	397	22	870	7600	452	1	92	0	416	29367	10	1	72	1502	9683	0	180	3	0	1	7138	130	335	58	9	95	27	9	723	2	4	173	367	4	5199	8	144	15	5	8733	0	42	2	0	0	0	1490	7
"Histidine metabolism"	148	202	28151	383	307	46831	361	18485	150	10020	284	20857	2278	6228	113	14467	385	2046	612	27553	43	1437	37422	28	25	19	21697	129	8119	924	1905	2080	11117	585	19725	386	12483	1507	14	1420	3276	98	851	640	2415	58	783	6394	21	78349	36	12101	492	47886	452	36315	448	12886	403	163	169	8491	73	1419	133589	17	469	13606	23	461017	95	16897	4475	3062	11302	10	3774	123	33	7465	174	152699	314	513	12392	4650	71160	1605	1961	9115	4187	24	86	233	23216	307	11044	20	61	86	62067	35	57213	299	10	290	274502	79	35332	24	20	38	109	4770	1114	2169	213	873	10677	24	1484	157133	24	29871	79	6246	74835	216	37130	27	127	68334	113	34	8622	20	20230	161914	26081	698	2634	3700	8469	86	2065	10709	27312	856406	1203	7355	1262	80	1324	55993	1560	51	9607	21977	187202	2231	4290	203834	491577	91	65075	879	1277	55	1681	9718	540	1678	12313	2972	40411	155522	5587	2106	27082	2268	6758	9301	620	26441	2152	8489	29	14	1425	90	15326	525
"Histone modification proteins"	1068	3261	931491	1331	20180	197330	36920	1109784	711	437892	4355	172121	32263	57382	7598	169606	6726	38810	8192	579789	798	58694	737858	240	316	128	127698	763	56476	9215	31691	40762	217785	5953	242584	4226	187840	11506	130	27491	31330	1041	4581	3448	14294	192	7176	44586	892	725868	1742	28036	6478	791363	2864	224984	8655	301072	2974	899	1399	318529	750	31877	3463496	727	8316	169932	336	1722459	733	229938	69949	20498	165369	433	28742	3162	589	283825	8077	4472210	1798	4546	59757	24893	210433	45854	36711	138633	17541	288	643	11238	11250	2188	254137	168	626	817	885526	642	994250	9230	1027	10562	3379346	2207	2098883	1283	586	321	1518	236516	30623	5201	2857	6638	193887	441	61920	10968313	1565	2258038	2712	287246	3160845	4504	1163209	248	4329	3191968	766	1308	84120	825	164798	1201198	2771614	49624	6515	192765	47529	12047	37601	65927	345167	28372588	12163	950259	3667	250	13682	530794	4211	14921	395821	222467	2466581	26062	38269	15689114	7254099	8325	932206	8963	3384	14394	62117	251389	4669	19893	144935	1130	219456	784929	36268	16686	474669	15088	146850	146053	40623	195633	14632	265406	416	405	104173	1920	389748	4204
